Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
E0,18/08/93,Man United,Sheffield United,3,0,H,,,,1993-94
E0,21/08/93,Man United,Newcastle,1,1,D,,,,1993-94
E0,1/9/1993,Man United,West Ham,3,0,H,,,,1993-94
E0,19/09/93,Man United,Arsenal,1,0,H,,,,1993-94
E0,25/09/93,Man United,Swindon,4,2,H,,,,1993-94
E0,16/10/93,Man United,Tottenham,2,1,H,,,,1993-94
E0,30/10/93,Man United,QPR,2,1,H,,,,1993-94
E0,20/11/93,Man United,Wimbledon,3,1,H,,,,1993-94
E0,24/11/93,Man United,Ipswich,0,0,D,,,,1993-94
E0,4/12/1993,Man United,Norwich,2,2,D,,,,1993-94
E0,19/12/93,Man United,Aston Villa,3,1,H,,,,1993-94
E0,26/12/93,Man United,Blackburn,1,1,D,,,,1993-94
E0,1/1/1994,Man United,Leeds,0,0,D,,,,1993-94
E0,22/01/94,Man United,Everton,1,0,H,,,,1993-94
E0,5/3/1994,Man United,Chelsea,0,1,A,,,,1993-94
E0,16/03/94,Man United,Sheffield Weds,5,0,H,,,,1993-94
E0,30/03/94,Man United,Liverpool,1,0,H,,,,1993-94
E0,4/4/1994,Man United,Oldham,3,2,H,,,,1993-94
E0,23/04/94,Man United,Man City,2,0,H,,,,1993-94
E0,4/5/1994,Man United,Southampton,2,0,H,,,,1993-94
E0,8/5/1994,Man United,Coventry,0,0,D,,,,1993-94
E0,20/08/94,Man United,QPR,2,0,H,,,,1994-95
E0,31/08/94,Man United,Wimbledon,3,0,H,,,,1994-95
E0,17/09/94,Man United,Liverpool,2,0,H,,,,1994-95
E0,1/10/1994,Man United,Everton,2,0,H,,,,1994-95
E0,15/10/94,Man United,West Ham,1,0,H,,,,1994-95
E0,29/10/94,Man United,Newcastle,2,0,H,,,,1994-95
E0,10/11/1994,Man United,Man City,5,0,H,,,,1994-95
E0,19/11/94,Man United,Crystal Palace,3,0,H,,,,1994-95
E0,3/12/1994,Man United,Norwich,1,0,H,,,,1994-95
E0,17/12/94,Man United,Nott'm Forest,1,2,A,,,,1994-95
E0,28/12/94,Man United,Leicester,1,1,D,,,,1994-95
E0,3/1/1995,Man United,Coventry,2,0,H,,,,1994-95
E0,22/01/95,Man United,Blackburn,1,0,H,,,,1994-95
E0,4/2/1995,Man United,Aston Villa,1,0,H,,,,1994-95
E0,4/3/1995,Man United,Ipswich,9,0,H,,,,1994-95
E0,15/03/95,Man United,Tottenham,0,0,D,,,,1994-95
E0,22/03/95,Man United,Arsenal,3,0,H,,,,1994-95
E0,2/4/1995,Man United,Leeds,0,0,D,,,,1994-95
E0,17/04/95,Man United,Chelsea,0,0,D,,,,1994-95
E0,7/5/1995,Man United,Sheffield Weds,1,0,H,,,,1994-95
E0,10/5/1995,Man United,Southampton,2,1,H,,,,1994-95
E0,23/08/95,Man United,West Ham,2,1,H,0.0,0.0,D,1995-96
E0,26/08/95,Man United,Wimbledon,3,1,H,1.0,0.0,H,1995-96
E0,16/09/95,Man United,Bolton,3,0,H,2.0,0.0,H,1995-96
E0,1/10/1995,Man United,Liverpool,2,2,D,1.0,1.0,D,1995-96
E0,14/10/95,Man United,Man City,1,0,H,1.0,0.0,H,1995-96
E0,28/10/95,Man United,Middlesbrough,2,0,H,1.0,0.0,H,1995-96
E0,18/11/95,Man United,Southampton,4,1,H,3.0,0.0,H,1995-96
E0,2/12/1995,Man United,Chelsea,1,1,D,0.0,0.0,D,1995-96
E0,9/12/1995,Man United,Sheffield Weds,2,2,D,1.0,0.0,H,1995-96
E0,27/12/95,Man United,Newcastle,2,0,H,1.0,0.0,H,1995-96
E0,30/12/95,Man United,QPR,2,1,H,1.0,0.0,H,1995-96
E0,13/01/96,Man United,Aston Villa,0,0,D,0.0,0.0,D,1995-96
E0,10/2/1996,Man United,Blackburn,1,0,H,1.0,0.0,H,1995-96
E0,21/02/96,Man United,Everton,2,0,H,1.0,0.0,H,1995-96
E0,20/03/96,Man United,Arsenal,1,0,H,0.0,0.0,D,1995-96
E0,24/03/96,Man United,Tottenham,1,0,H,0.0,0.0,D,1995-96
E0,8/4/1996,Man United,Coventry,1,0,H,0.0,0.0,D,1995-96
E0,17/04/96,Man United,Leeds,1,0,H,0.0,0.0,D,1995-96
E0,28/04/96,Man United,Nott'm Forest,5,0,H,2.0,0.0,H,1995-96
E0,21/08/96,Man United,Everton,2,2,D,0.0,2.0,A,1996-97
E0,25/08/96,Man United,Blackburn,2,2,D,1.0,1.0,D,1996-97
E0,14/09/96,Man United,Nott'm Forest,4,1,H,2.0,1.0,H,1996-97
E0,29/09/96,Man United,Tottenham,2,0,H,1.0,0.0,H,1996-97
E0,12/10/1996,Man United,Liverpool,1,0,H,1.0,0.0,H,1996-97
E0,2/11/1996,Man United,Chelsea,1,2,A,0.0,1.0,A,1996-97
E0,16/11/96,Man United,Arsenal,1,0,H,0.0,0.0,D,1996-97
E0,30/11/96,Man United,Leicester,3,1,H,0.0,0.0,D,1996-97
E0,21/12/96,Man United,Sunderland,5,0,H,2.0,0.0,H,1996-97
E0,28/12/96,Man United,Leeds,1,0,H,1.0,0.0,H,1996-97
E0,1/1/1997,Man United,Aston Villa,0,0,D,0.0,0.0,D,1996-97
E0,29/01/97,Man United,Wimbledon,2,1,H,0.0,0.0,D,1996-97
E0,1/2/1997,Man United,Southampton,2,1,H,1.0,1.0,D,1996-97
E0,1/3/1997,Man United,Coventry,3,1,H,2.0,0.0,H,1996-97
E0,15/03/97,Man United,Sheffield Weds,2,0,H,1.0,0.0,H,1996-97
E0,5/4/1997,Man United,Derby,2,3,A,0.0,2.0,A,1996-97
E0,5/5/1997,Man United,Middlesbrough,3,3,D,2.0,3.0,A,1996-97
E0,8/5/1997,Man United,Newcastle,0,0,D,0.0,0.0,D,1996-97
E0,11/5/1997,Man United,West Ham,2,0,H,1.0,0.0,H,1996-97
E0,13/08/97,Man United,Southampton,1,0,H,0.0,0.0,D,1997-98
E0,30/08/97,Man United,Coventry,3,0,H,1.0,0.0,H,1997-98
E0,13/09/97,Man United,West Ham,2,1,H,1.0,1.0,D,1997-98
E0,24/09/97,Man United,Chelsea,2,2,D,1.0,1.0,D,1997-98
E0,4/10/1997,Man United,Crystal Palace,2,0,H,2.0,0.0,H,1997-98
E0,25/10/97,Man United,Barnsley,7,0,H,4.0,0.0,H,1997-98
E0,1/11/1997,Man United,Sheffield Weds,6,1,H,4.0,0.0,H,1997-98
E0,30/11/97,Man United,Blackburn,4,0,H,1.0,0.0,H,1997-98
E0,15/12/97,Man United,Aston Villa,1,0,H,0.0,0.0,D,1997-98
E0,26/12/97,Man United,Everton,2,0,H,2.0,0.0,H,1997-98
E0,10/1/1998,Man United,Tottenham,2,0,H,1.0,0.0,H,1997-98
E0,31/01/98,Man United,Leicester,0,1,A,0.0,1.0,A,1997-98
E0,7/2/1998,Man United,Bolton,1,1,D,0.0,0.0,D,1997-98
E0,21/02/98,Man United,Derby,2,0,H,1.0,0.0,H,1997-98
E0,14/03/98,Man United,Arsenal,0,1,A,0.0,0.0,D,1997-98
E0,28/03/98,Man United,Wimbledon,2,0,H,0.0,0.0,D,1997-98
